,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
1194,dart_VoluntaryReserves,임의적립금,Voluntary Reserves,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금,79039164390.0,79039164390.0,79039164390.0,임의적립금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,dart_RetainedEarningsBeforeAppropriationsAccumulatedDeficitBeforeDisposition,미처분이익잉여금,Retained earnings before appropriations(accumulated deficit before disposition),재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금,-2291077982.0,5159628539.0,3995224307.0,미처분이익잉여금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,112576389418.0,120142945248.0,116728371379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,128503266423.0,135283853674.0,130666514703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,60512506039.0,59500693857.0,50578929734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,8557981135.0,6416428259.0,812307755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타금융자산,3640000000.0,4213004184.0,3705000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,8388500616.0,13056871303.0,10452737128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,entity00104519_udf_BS_2018725174558734_CurrentAssets,기타수취채권,other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,11546657884.0,7138189659.0,8594316500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,27490642578.0,27715593618.0,25685353718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,606366616.0,666024694.0,1099486883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,282357210.0,294582140.0,229727750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,49447348362.0,42814258140.0,40244700828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타금융자산,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,37613000.0,37613000.0,370004184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 측정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치 측정 금융자산,14249633463.0,3751950945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치 측정 금융자산,457518539.0,3109777590.0,574041676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,entity00104519_udf_BS_2018725175327747_NoncurrentAssets,기타수취채권,other non-current notes and accounts receivable,재무상태표 [abstract],자산 [abstract],비유동자산,기타수취채권,3841174195.0,1159722371.0,1200223861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업에 대한 투자자산,6255803784.0,6143848423.0,5955105638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,7115035104.0,14799035762.0,16748797067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,entity00104519_udf_BS_2018725175255707_NoncurrentAssets,무형자산,Intangible Assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,4775870257.0,6296393791.0,5779869156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,9545528367.0,4280209212.0,5409937319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,3169171653.0,3235707046.0,2953224894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,,1253497033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,109959854401.0,102314951997.0,90823630562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,54665743281.0,61164900596.0,53421973638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,11198815720.0,8433857397.0,11951468296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,entity00104519_udf_BS_2018725175923937_CurrentLiabilities,기타지급채무,other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타지급채무,7116501627.0,7287294366.0,4724488085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,9310379831.0,11964008748.0,14475640566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,6371440345.0,2873677806.0,941911090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,3460423740.0,1193133376.0,1731659247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성사채,12732717870.0,21519424702.0,15283203386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,dart_CurrentDerivativeLiabilities,유동파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동파생상품부채,3441107692.0,6748661055.0,3512587640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,dart_CurrentFinancialGuaranteeLiabilities,유동금융보증부채,Current financial guarantee liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동금융보증부채,,,6993592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,ifrs-full_CurrentProvisions,환불부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,31230485.0,95734173.0,449692986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1003125971.0,1049108973.0,273863324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,,,70465426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,12205770275.0,9306732671.0,6574356612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,466611089.0,3254196736.0,95874542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,entity00104519_udf_BS_202331918444562_NoncurrentLiabilities,기타지급채무,other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,기타지급채무,855700000.0,605700000.0,607700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,6355593225.0,3310224511.0,3880317686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,1966517913.0,1857541761.0,1694394021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,기타장기종업원급여부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,기타장기종업원급여부채,147791192.0,167441220.0,173310196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,1613556856.0,111628443.0,122760167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,66871513556.0,70471633267.0,59996330250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,42873286880.0,31231564101.0,30054254638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본금,52285165500.0,32704364500.0,24688222500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,주식발행초과금,54741317348.0,36877815344.0,24126777925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타자본구성요소,11564669988.0,11373080781.0,10331772573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타포괄손익누계액,-5451900657.0,-2986134144.0,86906950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,이익잉여금(결손금),-70265965299.0,-46737562380.0,-29179425310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,215053965.0,611754629.0,773045674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,43088340845.0,31843318730.0,30827300312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,109959854401.0,102314951997.0,90823630562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,44255370613.0,41893560727.0,39455099127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,6235129070.0,13418003263.0,8611111425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,2981794108.0,3752184079.0,4204020107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,29894288744.0,18652082871.0,23000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,5107312557.0,5339071871.0,3318485862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,36846134.0,52658702.0,321481733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,0.0,679559941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,5633349928.0,6787677175.0,7643787229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치금융자산,449060000.0,1108056290.0,543978858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,477524000.0,448718650.0,744579500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산","Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",411470218.0,626563943.0,692108069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,entity00134176_udf_BS_2023320142933950_NoncurrentAssets,순확정급여자산,Net Defined Benefit Net property,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,31946682.0,,148931427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,2190498885.0,2196450701.0,2135998439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,458469091.0,486066909.0,529763455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,491054202.0,462534946.0,525685712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1123326850.0,1459285736.0,2322741769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,49888720541.0,48681237902.0,47098886356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,4010331521.0,4342272824.0,4114416970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,3525962134.0,4195154971.0,3645172302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,349889587.0,,340655689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,131635486.0,147117853.0,128588979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,entity00134176_udf_BS_2023320143319392_CurrentLiabilities,금융리스부채,capital lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,금융리스부채,2844314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,19797257.0,84318284.0,83097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,dart_NonCurrentFinanceLeaseLiabilities,금융리스부채,Non-current finance lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,금융리스부채,19797257.0,13060.0,83097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,entity00134176_udf_BS_2022329114756572_NoncurrentLiabilities,순확정급여부채,Net Defined Benefit Liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,0.0,84305224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
